Aachen,Germany,61.07
Aalborg,Denmark,71.3
Augsburg,Germany,77.2
Berlin,Germany,69.96
Bielefeld,Germany,73.16
Bochum,Germany,67.74
Bonn,Germany,68.33
Braunschweig,Germany,74.3
Bremen,Germany,72.18
Chemnitz,Germany,75.34
Cologne,Germany,71.34
Copenhagen,Denmark,72.05
Darmstadt,Germany,75.28
Dortmund,Germany,68.17
Dresden,Germany,74.65
Düsseldorf,Germany,72.13
Duisburg,Germany,69.49
Erfurt,Germany,73.64
Essen,Germany,69.28
Frankfurt,Germany,70.6
Freiburg im Breisgau,Germany,64.46
Gelsenkirchen,Germany,65.65
Hagen,Germany,74.51
Halle an der Saale,Germany,70.28
Hamburg,Germany,76.23
Hamm,Germany,68.71
Hannover,Germany,71.21
Heidelberg,Germany,60.16
Herne,Germany,64.11
Ingolstadt,Germany,81.86
Karlsruhe,Germany,72.83
Kassel,Germany,70.4
Kiel,Germany,70.16
Krefeld,Germany,68.36
Lübeck,Germany,73.5
Leipzig,Germany,70.51
Leverkusen,Germany,76.15
Ludwigshafen am Rhein,Germany,69.93
Magdeburg,Germany,73.15
Mainz,Germany,72.32
Mannheim,Germany,69.57
Mülheim a.d.Ruhr,Germany,73.11
Mönchengladbach,Germany,71.51
Münster,Germany,75.37
Munich,Germany,75.71
Nuremberg,Germany,74.31
Oberhausen,Germany,70.36
Odense,Denmark,68.05
Oldenburg,Germany,73.66
Osnabrück,Germany,70.23
Potsdam,Germany,78.69
Regensburg,Germany,77.04
Ãâ¦rhus,Denmark,70.3
Rostock,Germany,72.46
Saarbrücken,Germany,64.65
Solingen,Germany,75.24
Stuttgart,Germany,70.16
Wiesbaden,Germany,74.35
Würzburg,Germany,67.99
Wuppertal,Germany,70.5
