,prešernov_trg_petkovškovo_nabrežje,pogačarjev_trg_tržnica,kongresni_trg_šubičeva_ulica,cankarjeva_ul_nama,breg,grudnovo_nabrežje_karlovška_c,miklošičev_park,bavarski_dvor,trg_of_kolodvorska_ul,masarykova_ddc,vilharjeva_cesta,park_navje_železna_cesta,trg_mdb,parkirišče_nuk_2_ff,ambrožev_trg,gh_šentpeter_njegoševa_c,ilirska_ulica,tržaška_c_ilirija,tivoli,stara_cerkev,kino_šiška,špica,barjanska_c_center_starejših_trnovo,zaloška_c_grablovičeva_c,tržnica_moste,rožna_dolina_škrabčeva_ul,dunajska_c_ps_petrol,plečnikov_stadion,dunajska_c_ps_mercator,lidl___vojkova_cesta,športni_center_stožice,koprska_ulica,mercator_center_šiška,citypark,btc_city/dvorana_a,btc_city_atlantis,trnovo,p+r_barje,p_+_r_dolgi_most,bonifacija,antonov_trg,bratovševa_ploščad,bs4_stožice,savsko_naselje_2_linhartova_cesta,savsko_naselje_1_šmartinska_cesta,situla,štepanjsko_naselje_1_jakčeva_ulica,hofer_kajuhova,brodarjev_trg,preglov_trg,lidl_litijska_cesta,živalski_vrt,cesta_na_rožnik,šmartinski_park,poljanska_potočnikova,srednja_frizerska_šola,povšetova_grablovičeva,tržnica_koseze,lidl_bežigrad,mercator_market___celovška_c_163,rakovnik,aleja___celovška_cesta,ikea,kopališče_kolezija,viško_polje,koseški_bajer,dravlje,črnuče,studenec,polje,zalog,lidl___rudnik,prušnikova,povšetova___kajuhova,soseska_novo_brdo,tehnološki_park,vojkova___gasilska_brigada,gerbičeva___športni_park_svoboda,dolenjska_c___strelišče,roška___streliška,lek___verovškova,voka___slovenčeva,supernova_ljubljana___rudnik,hofer___polje
2022-12-19 16:57:27,5.0,83.0,30.0,50.0,75.0,17.0,0.0,74.0,38.0,17.0,80.0,10.0,60.0,65.0,28.000000000000004,38.0,6.0,11.0,95.0,50.0,54.0,61.0,55.00000000000001,0.0,43.0,44.0,30.0,11.0,6.0,40.0,62.0,25.0,0.0,45.0,53.0,25.0,10.0,40.0,20.0,43.0,25.0,30.0,65.0,70.0,25.0,5.0,32.0,40.0,30.0,75.0,20.0,53.0,25.0,0.0,30.0,40.0,16.0,72.0,40.0,45.0,60.0,15.0,10.0,0.0,95.0,50.0,25.0,55.00000000000001,15.0,25.0,55.00000000000001,35.0,5.0,10.0,85.0,20.0,5.0,60.0,15.0,30.0,10.0,5.0,60.0,45.0
2022-12-19 16:57:27,5.0,83.0,30.0,50.0,75.0,17.0,0.0,74.0,38.0,17.0,80.0,10.0,60.0,65.0,28.000000000000004,38.0,6.0,11.0,95.0,50.0,54.0,61.0,55.00000000000001,0.0,43.0,44.0,30.0,11.0,6.0,40.0,62.0,25.0,0.0,45.0,53.0,25.0,10.0,40.0,20.0,43.0,25.0,30.0,65.0,70.0,25.0,5.0,32.0,40.0,30.0,75.0,20.0,53.0,25.0,0.0,30.0,40.0,16.0,72.0,40.0,45.0,60.0,15.0,10.0,0.0,95.0,50.0,25.0,55.00000000000001,15.0,25.0,55.00000000000001,35.0,5.0,10.0,85.0,20.0,5.0,60.0,15.0,30.0,10.0,5.0,60.0,45.0
2022-12-19 16:57:27,5.0,83.0,30.0,50.0,75.0,17.0,0.0,74.0,38.0,17.0,80.0,10.0,60.0,65.0,28.000000000000004,38.0,6.0,11.0,95.0,50.0,54.0,61.0,55.00000000000001,0.0,43.0,44.0,30.0,11.0,6.0,40.0,62.0,25.0,0.0,45.0,53.0,25.0,10.0,40.0,20.0,43.0,25.0,30.0,65.0,70.0,25.0,5.0,32.0,40.0,30.0,75.0,20.0,53.0,25.0,0.0,30.0,40.0,16.0,72.0,40.0,45.0,60.0,15.0,10.0,0.0,95.0,50.0,25.0,55.00000000000001,15.0,25.0,55.00000000000001,35.0,5.0,10.0,85.0,20.0,5.0,60.0,15.0,30.0,10.0,5.0,60.0,45.0
2022-12-19 16:57:27,5.0,83.0,30.0,50.0,75.0,17.0,0.0,74.0,38.0,17.0,80.0,10.0,60.0,65.0,28.000000000000004,38.0,6.0,11.0,95.0,50.0,54.0,61.0,55.00000000000001,0.0,43.0,44.0,30.0,11.0,6.0,40.0,62.0,25.0,0.0,45.0,53.0,25.0,10.0,40.0,20.0,43.0,25.0,30.0,65.0,70.0,25.0,5.0,32.0,40.0,30.0,75.0,20.0,53.0,25.0,0.0,30.0,40.0,16.0,72.0,40.0,45.0,60.0,15.0,10.0,0.0,95.0,50.0,25.0,55.00000000000001,15.0,25.0,55.00000000000001,35.0,5.0,10.0,85.0,20.0,5.0,60.0,15.0,30.0,10.0,5.0,60.0,45.0
2022-12-19 16:57:27,5.0,83.0,30.0,50.0,75.0,17.0,0.0,74.0,38.0,17.0,80.0,10.0,60.0,65.0,28.000000000000004,38.0,6.0,11.0,95.0,50.0,54.0,61.0,55.00000000000001,0.0,43.0,44.0,30.0,11.0,6.0,40.0,62.0,25.0,0.0,45.0,53.0,25.0,10.0,40.0,20.0,43.0,25.0,30.0,65.0,70.0,25.0,5.0,32.0,40.0,30.0,75.0,20.0,53.0,25.0,0.0,30.0,40.0,16.0,72.0,40.0,45.0,60.0,15.0,10.0,0.0,95.0,50.0,25.0,55.00000000000001,15.0,25.0,55.00000000000001,35.0,5.0,10.0,85.0,20.0,5.0,60.0,15.0,30.0,10.0,5.0,60.0,45.0
2022-12-19 16:57:27,5.0,83.0,30.0,50.0,75.0,17.0,0.0,74.0,38.0,17.0,80.0,10.0,60.0,65.0,28.000000000000004,38.0,6.0,11.0,95.0,50.0,54.0,61.0,55.00000000000001,0.0,43.0,44.0,30.0,11.0,6.0,40.0,62.0,25.0,0.0,45.0,53.0,25.0,10.0,40.0,20.0,43.0,25.0,30.0,65.0,70.0,25.0,5.0,32.0,40.0,30.0,75.0,20.0,53.0,25.0,0.0,30.0,40.0,16.0,72.0,40.0,45.0,60.0,15.0,10.0,0.0,95.0,50.0,25.0,55.00000000000001,15.0,25.0,55.00000000000001,35.0,5.0,10.0,85.0,20.0,5.0,60.0,15.0,30.0,10.0,5.0,60.0,45.0
2022-12-19 16:57:27,5.0,83.0,30.0,50.0,75.0,17.0,0.0,74.0,38.0,17.0,80.0,10.0,60.0,65.0,28.000000000000004,38.0,6.0,11.0,95.0,50.0,54.0,61.0,55.00000000000001,0.0,43.0,44.0,30.0,11.0,6.0,40.0,62.0,25.0,0.0,45.0,53.0,25.0,10.0,40.0,20.0,43.0,25.0,30.0,65.0,70.0,25.0,5.0,32.0,40.0,30.0,75.0,20.0,53.0,25.0,0.0,30.0,40.0,16.0,72.0,40.0,45.0,60.0,15.0,10.0,0.0,95.0,50.0,25.0,55.00000000000001,15.0,25.0,55.00000000000001,35.0,5.0,10.0,85.0,20.0,5.0,60.0,15.0,30.0,10.0,5.0,60.0,45.0
2022-12-19 16:57:27,5.0,83.0,30.0,50.0,75.0,17.0,0.0,74.0,38.0,17.0,80.0,10.0,60.0,65.0,28.000000000000004,38.0,6.0,11.0,95.0,50.0,54.0,61.0,55.00000000000001,0.0,43.0,44.0,30.0,11.0,6.0,40.0,62.0,25.0,0.0,45.0,53.0,25.0,10.0,40.0,20.0,43.0,25.0,30.0,65.0,70.0,25.0,5.0,32.0,40.0,30.0,75.0,20.0,53.0,25.0,0.0,30.0,40.0,16.0,72.0,40.0,45.0,60.0,15.0,10.0,0.0,95.0,50.0,25.0,55.00000000000001,15.0,25.0,55.00000000000001,35.0,5.0,10.0,85.0,20.0,5.0,60.0,15.0,30.0,10.0,5.0,60.0,45.0
2022-12-19 16:57:27,5.0,83.0,30.0,50.0,75.0,17.0,0.0,74.0,38.0,17.0,80.0,10.0,60.0,65.0,28.000000000000004,38.0,6.0,11.0,95.0,50.0,54.0,61.0,55.00000000000001,0.0,43.0,44.0,30.0,11.0,6.0,40.0,62.0,25.0,0.0,45.0,53.0,25.0,10.0,40.0,20.0,43.0,25.0,30.0,65.0,70.0,25.0,5.0,32.0,40.0,30.0,75.0,20.0,53.0,25.0,0.0,30.0,40.0,16.0,72.0,40.0,45.0,60.0,15.0,10.0,0.0,95.0,50.0,25.0,55.00000000000001,15.0,25.0,55.00000000000001,35.0,5.0,10.0,85.0,20.0,5.0,60.0,15.0,30.0,10.0,5.0,60.0,45.0
2022-12-19 16:57:27,5.0,83.0,30.0,50.0,75.0,17.0,0.0,74.0,38.0,17.0,80.0,10.0,60.0,65.0,28.000000000000004,38.0,6.0,11.0,95.0,50.0,54.0,61.0,55.00000000000001,0.0,43.0,44.0,30.0,11.0,6.0,40.0,62.0,25.0,0.0,45.0,53.0,25.0,10.0,40.0,20.0,43.0,25.0,30.0,65.0,70.0,25.0,5.0,32.0,40.0,30.0,75.0,20.0,53.0,25.0,0.0,30.0,40.0,16.0,72.0,40.0,45.0,60.0,15.0,10.0,0.0,95.0,50.0,25.0,55.00000000000001,15.0,25.0,55.00000000000001,35.0,5.0,10.0,85.0,20.0,5.0,60.0,15.0,30.0,10.0,5.0,60.0,45.0
