,City,Country,Employment rate 2011 (%)
0,Aachen,Germany,61.07
1,Aalborg,Denmark,71.3
2,Augsburg,Germany,77.2
3,Berlin,Germany,69.96
4,Bielefeld,Germany,73.16
5,Bochum,Germany,67.74
6,Bonn,Germany,68.33
7,Braunschweig,Germany,74.3
8,Bremen,Germany,72.18
9,Chemnitz,Germany,75.34
10,Cologne,Germany,71.34
11,Copenhagen,Denmark,72.05
12,Darmstadt,Germany,75.28
13,Dortmund,Germany,68.17
14,Dresden,Germany,74.65
15,Düsseldorf,Germany,72.13
16,Duisburg,Germany,69.49
17,Erfurt,Germany,73.64
18,Essen,Germany,69.28
19,Frankfurt,Germany,70.6
20,Freiburg im Breisgau,Germany,64.46
21,Gelsenkirchen,Germany,65.65
22,Hagen,Germany,74.51
23,Halle an der Saale,Germany,70.28
24,Hamburg,Germany,76.23
25,Hamm,Germany,68.71
26,Hannover,Germany,71.21
27,Heidelberg,Germany,60.16
28,Herne,Germany,64.11
29,Ingolstadt,Germany,81.86
30,Karlsruhe,Germany,72.83
31,Kassel,Germany,70.4
32,Kiel,Germany,70.16
33,Krefeld,Germany,68.36
34,Lübeck,Germany,73.5
35,Leipzig,Germany,70.51
36,Leverkusen,Germany,76.15
37,Ludwigshafen am Rhein,Germany,69.93
38,Magdeburg,Germany,73.15
39,Mainz,Germany,72.32
40,Mannheim,Germany,69.57
41,Mülheim a.d.Ruhr,Germany,73.11
42,Mönchengladbach,Germany,71.51
43,Münster,Germany,75.37
44,Munich,Germany,75.71
45,Nuremberg,Germany,74.31
46,Oberhausen,Germany,70.36
47,Odense,Denmark,68.05
48,Oldenburg,Germany,73.66
49,Osnabrück,Germany,70.23
50,Potsdam,Germany,78.69
51,Regensburg,Germany,77.04
52,Ãâ¦rhus,Denmark,70.3
53,Rostock,Germany,72.46
54,Saarbrücken,Germany,64.65
55,Solingen,Germany,75.24
56,Stuttgart,Germany,70.16
57,Wiesbaden,Germany,74.35
58,Würzburg,Germany,67.99
59,Wuppertal,Germany,70.5
